Gene,Protein,Location,Methodology
AT1G63810,NRPE4,,
AT3G16440,RDM2,,
AT1G55520,ARAC3,,
AT3G44900,ATROP6,,
AT2G40590,RAC3,,
AT3G13730,RHO1PS,,
AT5G07530,ROP6,,
AT1G68790,ORF100B,,
AT1G03420,SDH6,,
AT3G03270,AGL99,,
AT1G68795,ATCSLA10,,
AT5G27470,CSLA10,,
AT5G07020,CSLA10,,
AT1G13770,PGSIP8,,
AT2G20080,ATTIM17-3,,
AT2G23260,TIM17-3,,
AT2G39270,ATGSL09,,
AT3G49170,atgsl9,,
AT2G34840,gsl09,,
AT4G09750,GSL09,,
AT1G47750,MIR169B,,
AT4G36360,MSL6,,
AT3G46110,INH3,,
AT2G17950,TRNFM,,
AT2G37380,GATL7,,
AT3G27280,ISPF,,
AT5G10560,MECPS,,
AT4G17550,SMAX1,,
AT1G33780,BLH1,,
AT3G45700,EDA29,,
AT3G08580,TBL31,,
AT4G33700,ATBCA5,,
AT5G14370,BCA5,,
AT5G05380,DPE2,,
AT4G15770,TUA5,,
AT1G27720,NDHF,,
AT5G01400,ATCSP4,,
AT4G19640,ATGRP2B,,
AT3G59090,GRP2B,,
AT5G17690,MGP2,,
AT1G01710,ATFRO1,,
AT3G49390,FRO1,,
AT5G67210,ATFD2,,
AT1G67310,FD2,,
AT1G73270,FED A,,
AT4G22240,RGXT2,,
AT1G34245,AtGPAT8,,
AT3G51730,GPAT8,,
AT5G60770,ARP,,
AT3G50060,ATGEX1,,
AT1G64660,GEX1,,
AT4G26090,ATPGLP1,,
AT4G29010,PGLP1,,
AT5G42990,FLS2,,
AT2G47450,HB-7,,
AT4G17730,HDG5,,
AT4G25210,PETB,,
AT1G35780,ATMLP-300B,,
AT5G35750,MEE36,,
AT5G63450,MLP-300B,,
AT1G64090,ATTBP2,,
AT1G29500,TBP2,,
AT1G13190,ATCHX4,,
AT3G07800,CHX4,,
AT5G65410,CYP90D1,,
AT3G22930,ATGRP-7,,
AT4G27140,ATGRP17,,
AT1G12820,GRP17,,
AT1G16870,CRWN3,,
AT1G16700,LINC3,,
AT1G62360,Sadhu4-2,,
AT1G49670,CLE12,,
AT3G26220,RUS3,,
AT3G15940,TIE2,,
AT3G21870,UGT84B1,,
AT2G01750,EMB2261,,
AT1G63360,PEX11A,,
AT4G03320,BGAL3,,
AT4G09800,PGA6,,
AT2G22370,WUS,,
AT3G24570,WUS1,,
AT4G38990,MAKR3,,
AT1G17470,ATPHB4,,
ATMG00690,PHB4,,
AT4G19230,AtG3Pp4,,
AT1G58848,G3Pp4,,
AT5G17670,AAC1,,
AT1G77300,PRA1.B3,,
AT5G41070,TAF4,,
AT2G23170,TAF4B,,
AT1G06290,ESP4,,
AT1G71040,ARA-7,,
AT1G67775,ARA7,,
AT5G16560,ATRAB-F2B,,
AT2G26250,ATRAB5B,,
AT5G53970,ATRABF2B,,
AT1G32850,RAB-F2B,,
AT4G02580,RABF2B,,
AT3G15340,Cand3,,
AT5G23720,AtLHP1,,
AT2G27020,LHP1,,
AT1G44170,TFL2,,
AT5G43600,CID10,,
AT2G25950,IRX15-L,,
AT5G55480,scpl6,,
AT1G11840,EPF2,,
AT4G28270,ATNRT2.4,,
AT3G53260,NRT2.4,,
AT3G47460,MYB77,,
AT1G73330,ATMGL,,
AT3G47390,MGL,,
AT4G22930,RPS2,,
AT5G20790,AIM1,,
AT2G44470,UBC18,,
AT3G54960,CAO,,
AT5G65683,CPSRP43,,
AT5G16120,ATSYP23,,
AT1G45170,SYP23,,
AT1G80050,AHK2,,
AT1G23090,HK2,,
AT2G02310,CYP94B1,,
AT5G28350,RTNLB3,,
AT1G09260,AtTK1a,,
AT5G02800,TK1a,,
AT3G01720,ATHB25,,
AT3G62890,HB25,,
AT4G26230,ZFHD2,,
AT4G29270,ZHD1,,
AT4G26540,AtCML11,,
AT4G38225,CML11,,
AT4G38220,AT2S1,,
AT5G22050,SESA1,,
AT1G34780,AFB3,,
AT3G06980,BUM,,
AT1G30000,BUM1,,
AT4G28050,SHL,,
AT5G59810,STM,,
AT1G35467,WAM,,
AT2G05830,WAM1,,
AT5G45500,NQR,,
AT1G10460,CYP71B3,,
AT1G21760,CYCP2;1,,
AT1G68150,ATMAP70-3,,
AT2G26640,MAP70-3,,
AT4G35700,AtTic20-IV,,
AT5G54280,Tic20-IV,,
AT3G20475,RPS18C,,
AT5G50440,MED18,,
AT1G12640,AtGH9B16,,
ATMG00160,GH9B16,,
AT5G28680,ATDRG,,
AT5G16770,ATDRG1,,
AT3G13530,DRG1,,
AT5G53620,ORF240A,,
AT3G06420,CYP707A1,,
AT1G23540,ASHH2,,
AT1G75630,CCR1,,
AT5G07030,EFS,,
AT3G58040,LAZ2,,
AT5G62660,SDG8,,
AT5G26240,DRB5,,
AT3G12110,GH3.3,,
AT5G59040,ACX3,,
AT1G10640,ATACX3,,
AT3G27840,LPR2,,
AT5G16780,CLE8,,
AT2G35150,KAN,,
AT2G30432,KAN1,,
AT2G43020,FDH,,
AT5G54750,KCS10,,
AT1G71950,TAT7,,
AT3G62450,UBP11,,
AT5G60335,PPI2,,
AT2G24260,PHS1,,
AT1G04680,PAG1,,
AT2G45770,ALDH3H1,,
AT2G20310,ALDH4,,
AT2G15080,ATAAH-2,,
AT4G29900,UAH,,
AT3G17090,GDPDL4,,
AT2G47070,GPDL1,,
AT1G46480,SVL1,,
AT5G15470,ATGLX1,,
AT5G42570,GLX1,,
AT4G29210,ATRMA2,,
AT5G22410,RMA2,,
AT2G17380,ATPAL2,,
AT2G32720,PAL2,,
AT5G04710,ATSMC2,,
AT3G48160,ATDR4,,
AT4G28040,DR4,,
AT5G20610,PHS1,,
AT5G14780,PyrR,,
AT4G39170,DHOASE,,
AT4G30480,PYR4,,
AT5G35620,BGLU29,,
AT3G25560,ATPDI1,,
AT5G19310,ATPDIL1-3,,
AT3G29410,PDI1,,
AT3G59870,PDIL1-3,,
AT5G26780,WAVH2,,
AT5G45610,APT2,,
AT4G18030,ATAPT2,,
AT5G53080,PHT1.1,,
AT1G34065,AST91,,
AT2G34090,SULTR3;3,,
AT4G25840,AtPP2-B6,,
AT5G42797,PP2-B6,,
AT2G22810,CDL1,,
AT2G25840,AQI,,
AT1G69200,APRL4,,
AT2G12400,ATAPRL4,,
AT2G18876,MNS3,,
ATCG00260,TET7,,
AT3G53016,ATSBT5.4,,
AT5G59290,SBT5.4,,
AT3G04260,RALFL5,,
AT2G18870,MTI1,,
AT1G04170,GLP7,,
AT1G20010,ATFBP7,,
AT4G14147,FBP7,,
AT4G10115,ATWRKY9,,
AT2G07785,WRKY9,,
AT4G14140,KCS11,,
AT4G10110,DAZ3,,
AT4G34030,ATM2,,
AT1G78320,ATM4,,
AT1G27530,ATMYOS1,,
AT2G14120,ATMSH5,,
AT2G22190,MSH5,,
AT5G56670,ATMEMB12,,
AT1G08290,MEMB12,,
AT2G45190,AtLPLAT1,,
AT3G11490,LPCAT1,,
AT5G23010,LPLAT1,,
AT4G15540,COX2,,
AT3G48780,ANX2,,
AT4G36105,AtMYB9,,
AT5G44120,MYB9,,
