Gene,Protein,Location,Methodology
AT5G40610,GYRB3,,
AT4G14040,Aug-02,,
AT4G34710,MED31,,
AT3G06080,AtHAB1,,
AT3G18730,HAB1,,
ATMG00240,AtbZIP16,,
AT3G12230,bZIP16,,
AT5G56860,ATPUP14,,
AT1G72560,PUP14,,
AT1G01220,UBP23,,
AT5G27490,ATXTH28,,
AT2G29970,EXGT-A2,,
AT1G60790,XTH28,,
AT5G25460,XTR2,,
AT1G77350,DAL2,,
AT5G15310,SPL1,,
AT5G06780,ZCF61,,
AT1G70700,UPL7,,
AT2G35450,AtTic20-II,,
AT1G53440,Tic20-II,,
AT5G09660,QUA3,,
AT2G01350,CRH1,,
AT2G31082,CYP81K2,,
AT2G31081,NPC5,,
AT5G41200,H3.1,,
AT2G31085,PTAC18,,
AT3G61260,ASP1,,
AT1G54540,CPK29,,
AT1G61550,ATNRT2.6,,
AT1G61224,NRT2.6,,
AT1G61226,ATTKL,,
AT4G10920,TKL,,
AT4G28940,ATEIF3B-1,,
AT5G49070,ATTIF3B1,,
AT5G62160,EIF3B,,
AT3G19480,EIF3B-1,,
AT1G04900,TIF3B1,,
AT2G42740,CHR5,,
AT5G16510,ALF1,,
AT5G08390,HLS3,,
AT2G38250,RTY,,
AT2G38700,RTY1,,
AT3G28910,SUR1,,
AT5G38530,ATPAP1,,
AT4G01370,ATPAP12,,
AT3G55130,PAP1,,
AT5G19320,PAP12,,
AT1G08060,SPT42,,
AT1G01080,ATSAR1,,
AT5G09440,ATSAR1B,,
AT1G15820,ATSARA1B,,
AT3G29390,SAR1,,
AT5G48440,SAR1B,,
AT5G18410,ANAC091,,
AT2G28880,TIP,,
AT5G43260,ATLPP1,,
AT4G35190,ATPAP1,,
AT2G18280,LPP1,,
AT3G26710,PAP1,,
AT2G31660,ABCA1,,
AT4G14080,AtABCA1,,
AT1G18630,AtGH9B10,,
AT5G64030,GH9B10,,
AT1G18140,COPT2,,
AT4G08685,ABCI20,,
AT4G36430,ATNAP9,,
AT4G29140,NAP9,,
AT5G66760,TET2,,
AT5G66810,DELTA-TIP2,,
AT1G22450,TIP2;2,,
AT4G11740,ATMYB65,,
AT4G30120,MYB65,,
AT5G41663,PIP5K6,,
AT2G22125,ATH9,,
AT3G48350,TH9,,
AT4G38960,TRX H9,,
AT5G63730,ATGLR3.4,,
AT3G22480,GLR3.4,,
AT3G42050,GLUR3,,
AT4G16770,PRA1.F4,,
AT5G45240,ATNHL10,,
AT3G55560,NHL10,,
AT2G23460,YLS9,,
AT5G63080,CYP71B28,,
AT2G18060,NRPB8B,,
AT4G00970,NRPD8B,,
AT1G02750,NRPE8B,,
AT5G24410,MRH6,,
AT2G44290,BGLU43,,
AT2G44910,ATNHX7,,
AT5G49690,ATSOS1,,
AT3G55160,SOS1,,
AT2G27510,ATNRT2.5,,
AT1G52315,NRT2.5,,
AT4G36380,PEP7,,
AT4G14950,AtPTR6,,
AT1G32350,PTR6,,
AT4G23200,TGA7,,
AT4G18600,ATPD,,
AT1G22630,PDE332,,
AT2G21770,FZF,,
AT2G40600,SKIP,,
AT1G68550,ATXYLT,,
AT3G07020,XYLT,,
AT3G03070,CHLM,,
AT3G08030,AtCPA,,
AT1G66795,CPA,,
AT5G61310,ABCA5,,
AT3G11220,ATATH4,,
AT2G45210,ATH4,,
AT2G23096,HCF101,,
AT3G51390,CHMP1B,,
AT3G54140,VPS46.1,,
AT5G39580,ATSNAP30,,
AT5G63880,SNAP30,,
AT1G02280,ACD1,,
AT2G44745,ATACD1,,
AT2G01820,AtDCD,,
AT5G67310,D-CDES,,
AT2G44740,DCD,,
AT5G46420,CYP78A7,,
AT1G33730,EMB1444,,
AT2G28550,CPK20,,
AT3G58700,SAUR63,,
AT2G41250,NF-YA10,,
AT1G75930,ATOEP16-2,,
AT3G53740,ATOEP16-S,,
AT2G32060,ATPEX10,,
AT4G27595,PEX10,,
AT5G41471,ATCAX1,,
AT1G04780,CAX1,,
AT4G18740,RCI4,,
AT4G23060,At-NEET,,
AT2G15660,NEET,,
AT5G35917,anac032,,
AT3G24620,NAC032,,
AT1G66240,AGL66,,
AT3G26450,PFN2,,
AT2G20790,PRF2,,
AT3G25620,PRO2,,
AT1G77860,NGA3,,
AT5G06140,RPL18AA,,
AT2G34930,ATWRKY52,,
AT4G18840,RRS1,,
AT2G25450,SLH1,,
AT2G17900,UMAMIT32,,
AT3G62870,ALDH1A,,
AT3G23750,ALDH2C4,,
AT1G18850,REF1,,
AT4G11290,DPMS3,,
AT2G22480,UBP1A,,
AT4G33670,ATPS1,,
AT1G52830,PS1,,
AT5G25230,ATVAMP723,,
AT3G27190,VAMP723,,
AT1G54250,VAMP723,,
AT3G21780,CML41,,
AT1G27650,CDF3,,
AT5G01240,ATERF11,,
AT3G08690,ERF11,,
AT3G60570,PRK6,,
AT1G54780,ABCG41,,
AT1G58200,ATPDR13,,
AT5G44270,PDR13,,
AT2G03680,DVL16,,
AT1G28490,ROT4,,
AT2G46520,MOT2,,
AT2G20420,ORF145A,,
AT5G12140,OTP85,,
AT5G64050,MIR832A,,
AT4G26780,ANAC034,,
AT5G64500,ANAC035,,
AT2G26280,AtLOV1,,
AT4G25320,LOV1,,
AT3G57490,NAC035,,
AT1G31190,PTL,,
AT3G57140,PGM3,,
AT5G13260,AtHB23,,
AT3G60650,HB23,,
AT1G20000,ATNHX2,,
AT4G17600,NHX2,,
AT4G21830,FAMT,,
AT3G08960,NRS/ER,,
AT5G58210,UER1,,
AT4G14400,MIR399B,,
AT4G34470,B80,,
AT1G51150,PUB8,,
AT5G61480,AtDMP7,,
AT2G11810,DMP7,,
AT1G79700,ATSTP13,,
AT3G12100,MSS1,,
AT4G27780,STP13,,
AT2G46290,ATNAT8,,
AT5G43170,NAT8,,
AT4G12070,FRS1,,
AT1G16670,AAE12,,
AT5G39720,STT3B,,
AT1G67040,LOG4,,
AT5G48000,ATPUB38,,
AT4G02610,PUB38,,
AT4G22330,APUM16,,
AT2G23550,PUM16,,
AT1G07670,ATK3,,
AT4G21630,KATC,,
AT1G07900,AAO1,,
AT2G02220,AO1,,
AT4G05048,AOalpha,,
AT3G44490,AT-AO1,,
AT3G21670,ATAO,,
AT3G50110,AtAO1,,
AT1G31330,OMR1,,
AT5G44340,DEAR5,,
AT1G31440,RAP2.9,,
AT5G41190,TOM3,,
AT1G31335,NF-YA4,,
AT5G55240,DHS,,
ATMG00920,EDA22,,
AT5G55710,COR413-TM1,,
AT4G33260,COR413IM1,,
AT1G72000,COR414-TM1,,
AT1G79440,AtYUC2,,
AT1G17500,YUC2,,
AT1G20560,ATBPM1,,
ATCG00490,BPM1,,
AT4G03520,SYNC3,,
AT3G06960,Cpn60beta2,,
AT3G14300,MLS,,
AT1G28230,PGK1,,
AT1G64030,AtVAB1,,
AT5G01690,VAB1,,
AT1G71420,PDV1,,
AT4G10250,KLCR2,,
AT1G31358,EMB2733,,
AT1G16900,ESP3,,
AT4G11220,emb1473,,
AT1G23320,CYP71A13,,
AT1G07010,ATMES17,,
AT5G27050,MES17,,
AT5G07450,AtMYB106,,
AT1G65820,MYB106,,
AT5G43300,NOK,,
AT5G56600,ATRABA4D,,
AT1G17560,RABA4D,,
AT5G07250,SDH2-2,,
AT2G46950,PAI2,,
AT5G13990,U6-29,,
AT5G65670,AtcwINV5,,
AT5G36170,CWINV5,,
AT4G24490,ATCFIM-25,,
AT3G19440,CFIM-25,,
AT2G33700,ATCNGC19,,
AT3G05370,CNGC19,,
AT2G38130,emb2184,,
AT5G51570,ATRBOHA,,
AT2G21170,RBOHA,,
AT5G16010,ATGLR2.7,,
AT5G48620,GLR2.7,,
AT2G26480,GLR2.7,,
AT5G12020,AtFBA4,,
AT4G22756,FBA4,,
AT1G06740,Sep-01,,
AT5G62270,MAP65-5,,
AT4G13650,DGS1,,
AT4G37360,SRT1,,
AT5G52440,ARF1-BP,,
AT2G20880,ARF2,,
AT1G50200,HSS,,
AT3G44042,ORE14,,
AT4G38350,AtGRF3,,
AT2G27680,GRF3,,
AT3G05700,ATUBA1,,
AT3G61510,MOS5,,
AT2G38390,UBA1,,
AT2G05940,AtMYB79,,
AT3G53130,MYB79,,
AT5G42420,NAGS1,,
AT3G09970,MAKR5,,
AT4G35630,LCR30,,
AT2G29760,ARR14,,
AT5G59920,RR14,,
AT1G77630,LAF3,,
AT3G20500,LAF3 ISF1,,
AT5G23830,LAF3 ISF2,,
AT2G40820,AtMYB32,,
AT3G59890,MYB32,,
AT5G37510,AACT1,,
AT5G67500,ATMES19,,
AT1G60540,MES19,,
AT5G58030,GAUT9,,
AT1G75250,AtPP5,,
AT2G43350,PAPP5,,
AT1G75700,PP5,,
AT5G28770,PP5.2,,
AT3G17300,LCR17,,
AT2G25490,EDA35,,
AT1G26355,ADG2,,
AT5G65560,APL1,,
AT3G55390,PSL4,,
AT5G49190,BLT,,
AT2G17760,ATRAB-A3,,
AT5G57655,ATRABA3,,
AT3G12570,RABA3,,
AT1G74070,SCPL19,,
AT4G26890,SNG2,,
AT4G14560,SMXL3,,
AT3G07130,ATPURM,,
AT1G22840,EMB2818,,
AT1G30400,PUR5,,
AT1G02640,ATCOR413-PM1,,
AT1G68300,ATCYP19,,
AT5G08270,COR413-PM1,,
ATMG00580,FL3-5A3,,
AT1G21380,WCOR413,,
AT1G49880,WCOR413-LIKE,,
AT2G45170,At-RS40,,
ATMG00950,AT-SRP40,,
AT3G24270,ATRSP35,,
AT1G19150,ATRSP40,,
AT1G60890,RS40,,
AT1G72830,RSP35,,
AT5G51460,BSK8,,
AT2G39660,TIM13,,
AT2G31410,AAR3,,
AT1G66230,APO2,,
AT5G18310,emb1629,,
AT3G10910,RID2,,
AT1G09780,LPD1,,
AT1G73390,ptlpd1,,
ATCG00030,UGT1,,
AT5G40840,UGT75B1,,
AT1G36340,AL2,,
AT1G76850,ATNAS2,,
AT3G02470,NAS2,,
AT1G66490,ATROPGEF4,,
AT5G54830,GEF4,,
AT5G04150,RHS11,,
AT3G45640,ROPGEF4,,
AT5G19400,DIR1,,
AT5G19950,CRF8,,
AT1G16210,ABCB3,,
AT5G22250,MDR3,,
AT2G20160,PGP3,,
AT3G20560,ATIRT2,,
AT4G27750,IRT2,,
AT3G49760,CPuORF43,,
AT1G05160,CPuORF41,,
AT2G04540,CPuORF42,,
AT2G34160,OST3/6,,
AT1G19730,ATPME38,,
AT1G53830,PME38,,
AT3G29250,AtMYB6,,
AT2G41070,MYB6,,
AT4G03070,ACO2,,
AT5G11590,FOP1,,
AT4G14720,WSD11,,
AT4G31730,MIR168,,
AT1G61940,MIR168B,,
ATMG01180,CYP71B6,,
AT4G03240,UMAMIT34,,
AT5G14320,CARAB-AK-LYS,,
AT5G25930,OBF4,,
AT1G47990,TGA4,,
AT4G33465,ATMPK14,,
AT3G48010,MPK14,,
AT5G66590,MPK14,,
AT1G14370,ATPIMT1,,
AT4G33460,PIMT1,,
AT5G48400,ATNUDT15,,
AT5G23300,ATNUDX15,,
AT2G32860,NUDX15,,
AT2G30930,PEX3,,
AT4G35850,PEX3-2,,
AT1G27400,RACK1B,,
AT5G37020,RACK1B_AT,,
AT1G01140,atfut4,,
AT3G51630,FUT4,,
AT1G01410,AtRABA1c,,
ATCG00440,RABA1c,,
AT5G67420,OASA2,,
AT1G56660,AMP1,,
AT4G19720,AtAMP1,,
AT1G47290,COP2,,
AT5G50330,HPT,,
AT1G32310,MFO1,,
AT3G49490,PT,,
AT5G09590,AGP15,,
AT4G20270,ATAGP15,,
AT4G09340,PIN1AT,,
AT3G62790,cm-3,,
AT4G22680,CM3,,
ATCG00130,emb2444,,
AT1G73830,SADHU9-1,,
ATCG00640,SRF5,,
AT5G49990,APRR5,,
AT1G72610,PRR5,,
AT3G60820,ATRBL11,,
AT4G13095,ATRBL15,,
AT1G03360,RBL11,,
AT1G22150,RBL15,,
AT1G79930,MIR391,,
AT1G33400,BRG3,,
AT4G11260,EMB2754,,
AT5G47100,ANAC013,,
AT5G47450,ANAC13,,
AT5G51820,NAC13,,
AT3G62820,TSC10A,,
AT5G56290,SAC51,,
AT1G05240,ARS5,,
AT3G22830,ATPSM30,,
AT5G43340,PAF1,,
AT3G04690,AtVGT1,,
AT1G62790,VGT1,,
AT4G35890,ATAB2,,
AT1G50840,ATRMR1,,
AT2G36000,RMR1,,
AT1G77670,MIR848A,,
AT1G12900,QWRF6,,
AT3G09390,FCA,,
AT5G40210,LBD10,,
AT4G09160,ATFP3,,
AT1G14760,FP3,,
AT1G59520,ATKCO4,,
AT1G17260,ATTPK4,,
AT3G24160,KCO4,,
AT4G03200,TPK4,,
AT3G47720,AtRABA6a,,
AT1G13230,RABA6a,,
AT5G65890,KCS9,,
AT1G48460,ATPRMT7,,
AT2G23140,PRMT7,,
AT5G63940,AT PRP39-2,,
AT3G51890,PRP39-2,,
AT3G49940,AtRLP51,,
AT3G51895,RLP51,,
AT3G04530,SNC2,,
AT5G24330,CRK,,
AT1G77490,EXL4,,
AT1G80460,ACSF,,
AT3G20880,CHL27,,
AT4G16120,CRD1,,
AT5G02870,ATNDT1,,
AT1G74430,NDT1,,
AT1G02145,LCR57,,
AT2G27300,AAE15,,
AT1G49590,CAT8,,
AT1G02140,TAS1C,,
AT5G64990,ATRH25,,
AT1G63770,STRS2,,
AT1G55310,CYP86C4,,
AT5G60360,ATO,,
AT1G55860,CHR35,,
AT4G26150,DMS1,,
AT4G17830,DRD1,,
AT5G58630,ARAC1,,
AT1G58070,ATGP2,,
AT5G61010,ATRAC1,,
AT1G34310,ATROP3,,
AT3G47090,ROP3,,
AT4G28990,NATA1,,
AT5G65060,ATMYB14,,
AT2G46880,MYB14,,
AT3G26020,MYB14AT,,
AT4G18830,ACS8,,
AT1G68890,CML43,,
AT3G20087,ATSUC3,,
AT3G20080,ATSUT2,,
AT5G23550,SUC3,,
AT3G09150,SUT2,,
AT1G23400,ATUGD1,,
AT4G03115,UGD1,,
AT4G32410,MIF3,,
AT4G26330,XTH16,,
AT1G31660,FLOT1,,
AT3G05070,ELF3,,
AT1G31830,PYK20,,
AT1G11905,ADL2,,
AT5G48810,APEM1,,
AT3G15790,DRP3A,,
AT1G76810,NOXY15,,
AT4G12240,APRR1,,
AT2G46080,AtTOC1,,
AT1G72970,PRR1,,
AT1G10500,TOC1,,
AT5G57540,ASHR2,,
ATCG00150,SDG39,,
AT1G68090,EIF4A-2,,
AT5G64370,ATSCAR4,,
AT1G12013,SCAR4,,
AT2G31030,WAVE3,,
AT3G26200,SQD2,,
AT1G68480,CHR11,,
AT1G05100,ATEME1A,,
AT5G06550,EME1A,,
AT1G70940,EME1A,,
AT1G07240,ACS5,,
AT1G75130,ATACS5,,
AT1G50920,CIN5,,
AT2G43100,ETO2,,
AT5G12470,ATIWS2,,
AT2G25660,IWS2,,
AT3G13438,MED8,,
AT3G19840,TBR,,
AT3G46410,TBR,,
AT1G09520,PAB1,,
AT2G32390,AtPERK7,,
AT5G26900,PERK7,,
AT5G63590,CYP94D1,,
AT1G32450,ATPHB7,,
AT3G30300,PHB7,,
AT4G03110,ATTRP2,,
AT3G10520,TRFL1,,
AT4G08980,TRP2,,
AT3G10525,MIR395,,
AT1G71890,MIR395A,,
AT5G02120,ATXRCC2,,
AT2G35000,XRCC2,,
AT5G30500,ATDUF6,,
AT2G20940,DUF6,,
AT1G75390,ZFP7,,
AT1G29060,PIP2;2,,
AT2G34420,PIP2B,,
AT5G44750,CPH,,
AT5G10940,SMT1,,
AT2G20240,CRK4,,
AT4G29860,4CL.1,,
AT4G34150,4CL1,,
AT2G32640,AT4CL1,,
AT1G53950,PIF6,,
AT5G03380,PIL2,,
AT2G41850,INDH,,
AT1G27380,INDL,,
AT5G26650,RGP,,
AT5G63400,RGP3,,
AT5G13030,CIPK19,,
AT4G34480,SnRK3.5,,
AT1G51560,AtHIRD11,,
AT1G30120,HIRD11,,
AT5G65240,ATPUP4,,
AT4G03455,PUP4,,
AT4G28190,WIT2,,
AT1G51940,ATNRP1,,
AT5G06905,NRP1,,
AT5G16200,FEY,,
AT3G60960,FEY3,,
AT5G43900,HIC,,
AT4G37820,KCS13,,
AT5G62040,ATGPAT1,,
AT3G61460,GPAT1,,
AT2G34390,sn-2-GPAT1,,
AT5G53040,miR828,,
AT4G05520,MIR828A,,
AT1G69850,APUM14,,
AT1G62800,PUM14,,
AT2G25270,PTAC5,,
AT3G43540,AtBGLU10,,
AT3G13290,BGLU10,,
AT2G41520,AtRLP49,,
AT2G17570,RLP49,,
AT2G01250,CCI1,,
AT2G42500,NDB2,,
AT4G14713,MEE66,,
AT4G34730,ATMLO4,,
AT4G14716,MLO4,,
AT3G12740,CPuORF13,,
AT5G48120,MIR826A,,
AT1G74660,PPX-2,,
AT3G18140,PPX2,,
AT1G70850,FAB1A,,
AT3G18715,Cand1,,
AT5G04430,AGL39,,
AT4G04780,ATKS,,
AT3G18710,ATKS1,,
AT1G08590,GA2,,
AT2G38220,KS,,
AT4G15350,KS1,,
AT5G09600,5PTASE2,,
AT2G31060,AT5PTASE2,,
AT5G41220,IP5PII,,
AT3G61200,ASKalpha,,
AT1G70760,ATSK11,,
AT5G03520,SK 11,,
AT1G78570,DJ-1f,,
AT1G04440,DJ1F,,
AT4G20060,ARK1,,
AT1G25380,RK1,,
AT3G27310,NOP56,,
AT4G28730,PFI,,
AT1G52760,TFC E,,
AT3G16910,ATCPK2,,
AT2G42760,CPK2,,
AT1G04290,ATCHX1,,
AT5G58690,CHX1,,
AT3G28390,NHL26,,
AT2G23530,SRPK4,,
AT2G02000,HSP60-3A,,
AT3G28930,CRK3,,
AT5G38880,ATTPS12,,
AT4G39500,TPS12,,
AT5G19280,scpl47,,
AT5G51260,ARARI3,,
AT2G38270,ARI3,,
AT2G39050,MKS1,,
AT1G03100,FLP1,,
AT1G19835,AtMYB93,,
AT3G22640,MYB93,,
AT4G01310,COS1,,
AT5G10540,COS1,,
AT5G09930,LBD13,,
AT1G01480,MEF18,,
AT4G32250,ATCNGC6,,
AT2G18260,CNGC6,,
AT5G18120,AHP6,,
AT5G24650,HP6,,
AT1G18610,MAP65-9,,
AT3G55980,PMEI5,,
AT3G02180,emb1381,,
AT3G44250,ATHB30,,
AT4G36410,HB30,,
AT4G26930,ZFHD3,,
AT3G17220,ZHD8,,
AT1G47056,ATCTIMC,,
AT3G20930,CYTOTPI,,
AT1G47500,TPI,,
AT1G20850,RALFL7,,
AT3G28640,UGT2,,
AT1G24120,UGT75B2,,
AT2G29400,ATMTAN1,,
AT4G34650,ATMTN1,,
AT4G11890,MTAN1,,
AT5G23150,MTN1,,
AT4G11720,AtHsp70-2,,
AT4G35460,Hsp70-2,,
AT4G31500,PCFS4,,
AT5G63715,ATYSL1,,
AT3G49530,YSL1,,
AT3G49020,ATPR1,,
AT2G16710,PR 1,,
AT2G41680,PR1,,
AT5G24430,ATPOT1,,
AT1G72670,AtPOT1a,,
AT5G46190,HDG10,,
AT2G27530,ATBZIP54,,
AT3G02980,GBF2,,
AT2G18000,IGMT1,,
AT2G45830,ATCDPMEK,,
AT1G04430,CDPMEK,,
AT4G14970,CMEK,,
AT1G52370,CMK,,
AT4G18620,ISPE,,
AT5G42750,PDE277,,
AT2G47900,UGT71C2,,
AT5G52100,GAE1,,
AT3G03050,ATOGG1,,
AT2G16400,OGG1,,
AT5G66120,EEP1,,
AT4G23260,MIR164,,
AT5G01460,MIR164C,,
AT5G40930,APUM1,,
AT3G55220,PUM1,,
AT3G07005,ATPAP22,,
AT4G11090,PAP22,,
AT1G68530,STY8,,
AT1G08730,ACLB-2,,
AT1G43190,THI2.2,,
AT1G08040,CIL,,
AT5G56590,AtVHP2;2,,
AT3G11240,VHP2;2,,
AT5G65930,eIF6A,,
AT2G41530,emb1624,,
AT4G28760,SRO5,,
AT5G64850,RID1,,
AT4G09570,RRN4.5S.1,,
AT1G51690,ATISU3,,
AT1G17890,ISU3,,
AT5G39610,FBL17,,
AT5G50850,AtHrd1A,,
AT3G57510,Hrd1A,,
AT1G52970,LSH10,,
AT4G32200,AtRZ-1c,,
AT3G56980,RZ-1c,,
AT1G71030,ATBCAT-1,,
AT5G10780,BCAT-1,,
AT4G22950,NLP7,,
AT5G45680,AtENODL10,,
AT4G08770,ENODL10,,
AT2G32000,CDC45,,
AT2G40480,DPMS2,,
AT5G05160,RPL2,,
AT3G03630,GLTP2,,
AT1G31650,ADT6,,
AT5G17520,AtADT6,,
AT3G12810,CDS4,,
AT1G48850,ATCCC1,,
AT1G44350,CCC1,,
AT1G49100,HAP5,,
AT1G53230,ATAZG2,,
AT1G18879,AZG2,,
AT1G77800,ADNT1,,
AT3G46620,D6PKL2,,
AT1G52990,PK5,,
AT5G64290,SBH2,,
AT1G18870,PETG,,
AT5G10430,UBP10,,
AT3G01980,anac058,,
AT2G25470,NAC058,,
AT4G23882,ADL1C,,
AT2G19600,ADL5,,
AT3G54480,DL1C,,
AT3G15360,DRP1C,,
AT4G23885,LCR2,,
AT2G35600,CYP707A4,,
AT2G35605,DEG11,,
AT5G51451,DegP11,,
AT1G01600,GYRB2,,
AT1G58260,AtDIR6,,
AT5G05290,DIR6,,
AT2G21450,AKR4C9,,
AT2G46505,ChlAKR,,
ATCG01190,ATTSB1,,
AT2G46500,TRP2,,
AT1G73410,TRPB,,
AT3G04200,TSB1,,
AT5G56320,CYP71A24,,
AT1G56500,MEF1,,
AT5G63570,ATBPC7,,
AT2G02270,BBR,,
AT1G67990,BPC7,,
AT1G35470,ATCDT1B,,
AT1G63180,CDT1,,
AT2G22170,CDT1B,,
AT3G01180,PIF1,,
AT5G44100,PIL5,,
AT1G53180,ATGLR2.4,,
AT2G47275,Aug-08,,
AT4G11380,GLR2.4,,
AT2G47270,DiT2.2,,
AT4G17190,ATBHLH029,,
AT3G08943,ATBHLH29,,
AT5G47710,ATFIT1,,
AT3G08940,BHLH029,,
AT3G08947,FIT1,,
AT5G57685,FRU,,
AT1G03600,4CL2,,
AT2G11520,AT4CL2,,
AT4G28850,SAUR24,,
AT1G79760,ATWRKY43,,
AT4G21810,WRKY43,,
AT2G38870,ABCI1,,
AT1G36180,ATNAP10,,
AT3G53800,NAP10,,
AT5G47260,TTA1,,
AT4G15810,ZCF125,,
AT4G02630,SHT,,
AT2G04360,TTA2,,
AT1G06070,PAPP2C,,
AT5G53060,PMR5,,
AT3G51660,TBL44,,
AT5G06120,RPL18,,
AT3G54290,VPS24,,
AT5G39700,VPS24.2,,
AT1G64510,emb2394,,
AT4G26455,ATICMTA,,
AT4G26450,ATPCM,,
AT5G55730,ATSTE14,,
AT3G15580,ATSTE14A,,
AT3G26935,ICMTA,,
AT3G26932,STE14,,
AT1G11040,STE14A,,
AT3G05330,ATRTL1,,
AT4G34510,RTL1,,
AT4G25230,PUX5,,
AT4G20430,TAAC,,
AT5G55220,IAA13,,
AT1G16060,ATCPK23,,
AT3G18520,CPK23,,
AT3G24200,ATGRP-4,,
AT3G18524,ATGRP14,,
AT3G50590,GRP-4,,
AT5G60710,GRP14,,
AT1G71400,TBL25,,
AT1G06380,ATG8C,,
AT3G14360,AtLCY,,
AT1G28210,LYC,,
AT1G16920,AtMYB19,,
AT1G50040,MYB19,,
AT2G36800,CGLD27,,
AT2G26760,AtGH9B12,,
AT4G02940,GH9B12,,
AT2G40316,TOM2B,,
AT4G32880,TTM1,,
AT3G51060,CID5,,
AT5G07470,IPD1,,
AT1G78380,ORF101B,,
AT1G61380,ATFPF1,,
AT5G03730,FPF1,,
AT1G05840,ABCI16,,
AT4G38590,AGL104,,
AT3G60250,ABCB4,,
AT5G65650,AtABCB4,,
AT4G28500,ATPGP4,,
AT1G79390,MDR4,,
AT3G09560,PGP4,,
AT3G03450,ATSNM1,,
AT1G52570,SNM1,,
AT2G33720,RPL21C,,
AT3G56290,ATPK1,,
AT1G04860,ATPK6,,
AT2G14820,ATS6K1,,
AT2G23940,PK1,,
AT3G14180,PK6,,
AT5G64810,S6K1,,
AT1G12460,AOP3,,
AT5G16070,BSL1,,
AT5G52860,LEW3,,
AT4G37340,ANAC007,,
AT4G37610,EMB2749,,
AT1G50260,NAC007,,
AT1G29390,VND4,,
AT1G07650,TOPP7,,
AT1G23360,ckl8,,
AT1G60250,FKD1,,
AT2G43590,AtGILP,,
AT4G38370,GILP,,
AT1G20810,AtRLP34,,
AT5G28030,RLP34,,
AT2G42975,PLA2-BETA,,
AT1G21130,TBL19,,
AT2G17290,ATWRKY31,,
AT1G20816,WRKY31,,
AT4G21100,ATCSLC06,,
AT4G21105,ATCSLC6,,
AT1G27840,CSLC06,,
AT3G53110,CSLC6,,
AT1G10310,LCR18,,
AT1G30370,AtLrgB,,
AT4G04330,LrgB,,
AT4G35610,CYP86C2,,
AT3G10950,ATGSTF14,,
AT3G14980,GSTF14,,
AT3G13610,ATFUT12,,
AT4G24160,FUCT2,,
AT2G13600,FUCTB,,
ATMG00610,FUT12,,
AT1G21630,TEL1,,
AT2G41940,APRR8,,
AT1G24460,PRR8,,
AT5G37060,ARAKIN,,
AT3G20520,ATMEKK1,,
AT2G43370,MAPKKK8,,
AT1G54130,MEKK1,,
AT1G70570,ABCA3,,
AT3G58610,ATATH2,,
AT2G05630,ATH2,,
AT1G07030,ACA.l,,
AT3G13350,AtRLP2,,
AT1G75270,RLP2,,
AT1G74050,AtPEPC1,,
AT3G19720,PEPC1,,
AT1G04600,FMA,,
AT3G62250,HAF2,,
AT5G22360,TAF1,,
AT5G22490,TAF1B,,
AT1G51170,SEC,,
AT5G38940,ATFLS1,,
AT1G07200,FLS,,
AT5G12260,FLS1,,
AT4G39970,FRS12,,
AT1G68320,ER,,
AT5G66350,QRP1,,
AT1G26190,AtPSKR2,,
AT2G03060,PSKR2,,
AT5G16690,ATTPS11,,
AT5G50080,ATTPSB,,
AT1G51880,TPS11,,
AT1G08920,TPS11,,
AT1G15160,ABIL3,,
AT1G19130,EMB2810,,
AT5G15520,RFC3,,
AT3G17185,RFC5,,
AT5G15250,PTAC17,,
AT5G11200,PDE225,,
AT5G54270,PTAC7,,
AT2G26580,TAC7,,
AT3G17180,CPuORF34,,
AT2G37860,CPuORF35,,
AT2G31470,DEG16,,
AT5G57360,ATGA20OX5,,
AT2G32920,GA20OX5,,
AT5G14120,HERK1,,
AT1G69460,DER1,,
AT3G16630,SESA5,,
AT3G16270,ATRD22,,
AT5G42890,RD22,,
AT3G12990,CYP75B1,,
AT5G04170,D501,,
AT5G58003,TT7,,
AT2G23620,MDH,,
AT5G27510,pNAD-MDH,,
AT4G15360,ATRHM3,,
AT2G05117,RHM3,,
AT2G20140,ACT4,,
AT1G01380,ATMES9,,
AT2G43810,MES9,,
AT2G04560,MIR472A,,
AT1G53760,TRNC,,
AT3G59210,AL6,,
AT2G28430,INO,,
AT4G23850,ATHSD1,,
AT3G13970,HSD1,,
AT4G31750,AtAUG3,,
AT3G49700,Aug-03,,
AT4G24240,MYC3,,
AT4G25480,PIFI,,
AT4G25950,UMAMIT10,,
AT2G28120,AGL38,,
AT1G31120,PHE2,,
AT4G08310,CRK37,,
AT5G14345,DYT1,,
AT2G19030,SCAP1,,
AT5G14340,ATFH5,,
AT5G25910,Fh5,,
AT4G18990,ATMGD2,,
AT3G07490,MGD2,,
AT1G27460,PRIN2,,
ATMG00940,AtPol{lambda},,
AT3G48030,Pol{lambda},,
AT3G18890,ATSEH,,
AT1G60090,SEH,,
AT3G18895,EZA1,,
AT1G21850,SDG10,,
AT1G15780,SWN,,
AT3G13650,THE1,,
AT4G19700,ATPMT2,,
AT4G13570,PMT2,,
AT5G59613,ATQSOX1,,
AT2G15290,QSO2,,
AT5G67400,QSOX1,,
AT1G76690,FLA17,,
AT2G31290,MIR395,,
AT2G01120,MIR395D,,
AT5G41410,CYP87A2,,
AT5G18590,RRN26,,
